method,cal_fraction,cal_patients,max_patients,auroc,auprc,patient_auroc,patient_auprc,brier,brier_raw,best_threshold,utility,official_utility,custom_utility
sigmoid,0.1,16,200,0.9962355067007981,0.8729401858336105,1.0,1.0,0.011076385128669295,0.007930034486533354,0.1,0.9656250000000001,0.9656250000000001,0.065
isotonic,0.2,32,200,0.9861843095919289,0.4341784989858012,0.9594594594594594,0.5,0.016400461806556774,0.007930034486533354,0.1,0.9438657407407408,0.9438657407407408,0.065
none,0.0,0,200,0.9962355067007981,0.8729401858336105,1.0,1.0,0.007930034486533354,0.007930034486533354,0.15000000000000002,0.921875,0.921875,0.1025
sigmoid,0.2,32,200,0.9962355067007981,0.8729401858336105,1.0,1.0,0.00862496679815526,0.007930034486533354,0.1,0.921875,0.921875,0.1025
isotonic,0.1,16,200,0.9918686944737238,0.6027848654953707,1.0,1.0,0.015004887863539557,0.007930034486533354,0.1,0.9208333333333334,0.9208333333333334,0.1025
sigmoid,0.05,8,200,0.5,0.020669992872416252,0.5,0.075,0.020554225991121455,0.007930034486533354,0.1,0.0,0.0,-0.15
isotonic,0.05,8,200,0.5,0.020669992872416252,0.5,0.075,0.020669992872416252,0.007930034486533354,0.1,0.0,0.0,-0.15
