model,auroc,auprc,utility,official_utility,accuracy,f_measure,early_detection_rate,false_alert_rate
baseline,0.7682468677283733,0.06684885845754694,0.0478766834029377,0.0478766834029377,0.9775951041153437,0.07692307692307693,0.1232876712328767,0.009708737864077669
improved,0.8469531472177367,0.12761661777853317,0.13208671578058281,0.13208671578058281,0.9713196587402433,0.1646525679758308,0.2602739726027397,0.021574973031283712
