model,auroc,auprc,utility,official_utility,accuracy,f_measure,early_detection_rate,false_alert_rate
baseline,0.7814563071253371,0.06710690570705122,0.13537005163511195,0.13537005163511195,0.9640009113693324,0.13186813186813187,0.25,0.02912621359223301
improved,0.8869360684344759,0.20874090883006205,0.4845955249569708,0.4845955249569708,0.9022556390977443,0.1859582542694497,0.75,0.10679611650485436
